"","X","species","SVL","count","abu_cat","lat.range","maxGCD_extant","mean_lat","min_lat","Red.List.status","Order","Family","Genus","hab.cat"
"1112",1112,"Litoria ewingii",40.0080474867253,NA,3,14.501555001,3502.40657113092,-41.0080226607813,-46.434613431301,"LC","ANURA","HYLIDAE","Litoria","low"
"1113",1113,"Litoria freycineti",38.0002118024742,NA,NA,10.502777099,1150.01003015965,-31.118859906128,-35.257382974308,"VU","ANURA","HYLIDAE","Litoria","low"
"1114",1114,"Litoria gasconi",40.4941226235358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1115",1115,"Litoria hilli",50.4068968037097,NA,3,0.0637676019999844,155.862328027604,-11.4688438673145,-12.2191677004844,"DD","ANURA","HYLIDAE","Litoria","highlow"
"1116",1116,"Litoria iris",34.2654689626535,NA,3,2.14631849799997,596.638615669977,-5.30931031836776,-5.98464208288118,"LC","ANURA","HYLIDAE","Litoria","highlow"
"1117",1117,"Litoria jungguy",48.5070185877662,13,NA,2.07047455399999,246.787671249508,-16.0972101170878,-18.3525365433842,"NT","ANURA","HYLIDAE","Litoria","highlow"
"1118",1118,"Litoria littlejohni",59.9989202864515,NA,1,7.11143574699997,903.885708883717,-34.8627554190605,-37.563032423649,"LC","ANURA","HYLIDAE","Litoria","highlow"
"1119",1119,"Litoria lodesdema",21.9959705192922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1120",1120,"Litoria lorica",33.3581029015826,NA,3,0.552041083999995,154.226916912641,-16.2126166627669,-17.028145873379,"CR","ANURA","HYLIDAE","Litoria","highlow"
"1121",1121,"Litoria nannotis",47.4922220088588,NA,NA,3.61056953099995,395.743311799979,-18.1003270105263,-19.485473013036,"EN","ANURA","HYLIDAE","Litoria","highlow"
"1122",1122,"Litoria nyakalensis",31.4947341443412,NA,3,2.38012260800002,246.787671249508,-17.3482923048862,-17.9429021339118,"CR","ANURA","HYLIDAE","Litoria","highlow"
"1123",1123,"Litoria pearsoniana",30.5072252257168,NA,NA,5.35746208099999,696.73394065942,-26.639579403576,-28.9727427634411,"NT","ANURA","HYLIDAE","Litoria","highlow"
"1124",1124,"Litoria raniformis",79.4939519460685,NA,3,14.451266001,3654.62662424691,-40.7624116033585,-47.8074413276836,"EN","ANURA","HYLIDAE","Litoria","highlow"
"1125",1125,"Litoria rheocola",33.491120138946,189,3,2.86387207799999,246.787671249508,-16.3697650521638,-19.4407171018049,"EN","ANURA","HYLIDAE","Litoria","highlow"
"1126",1126,"Litoria spenceri",38.0071512242733,NA,1,1.54224600000003,284.921275242164,-36.4384228037736,-36.9275221377797,"CR","ANURA","HYLIDAE","Litoria","highlow"
"1127",1127,"Litoria subglandulosa",45.0078023342975,NA,NA,2.75942969699997,347.7365574197,-29.5597854307114,-30.8555003507994,"VU","ANURA","HYLIDAE","Litoria","highlow"
"1128",1128,"Litoria viranula",24.9911245259643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1129",1129,"Litoria wilcoxii",47.7984793622838,NA,3,17.651920252,2092.06460059531,-25.9800255356059,-34.8574969699979,"LC","ANURA","HYLIDAE","Litoria","highlow"
"1130",1130,"Lyciasalamandra helverseni",NA,NA,2,0.566899999999976,111.323871569685,36.1305816226072,35.926238425225,"VU","CAUDATA","SALAMANDRIDAE","Lyciasalamandra",NA
"1131",1131,"Lyciasalamandra luschani",70.0080653260741,NA,2,0.404200000000003,142.830596631256,36.2741220562699,35.9803577732667,"VU","CAUDATA","SALAMANDRIDAE","Lyciasalamandra",NA
"1132",1132,"Lyciasalamandra luschani",62.0700061154645,NA,2,0.404200000000003,142.830596631256,36.5776516852881,36.8010234205425,"VU","CAUDATA","SALAMANDRIDAE","Lyciasalamandra",NA
"1133",1133,"Madecassophryne truebae",21.4923994763428,NA,1,0.937178856000003,111.323871569726,-24.3070864683604,-25.0973555026576,"EN","ANURA","MICROHYLIDAE","Madecassophryne",NA
"1134",1134,"Mantella aurantiaca",24.6458424955374,NA,4,0.262070451,9.50453877449036e-05,-18.2830786877704,-19.9354691199772,"CR","ANURA","MANTELLIDAE","Mantella","low"
"1135",1135,"Mantella baroni",29.994234411642,2,3,4.57866735800002,457.411328706518,-21.687826028609,-22.2437402720191,"LC","ANURA","MANTELLIDAE","Mantella","highlow"
"1136",1136,"Mantella bernhardi",19.6596566832857,NA,3,2.65866540600001,349.444459065831,-22.4607768410763,-23.8100870659947,"EN","ANURA","MANTELLIDAE","Mantella","highlow"
"1137",1137,"Mantella betsileo",21.0076845187135,NA,3,9.11157179100002,1023.32693326974,-18.0360496711464,-25.9930315997452,"LC","ANURA","MANTELLIDAE","Mantella","highlow"
"1138",1138,"Mantella cowanii",25.7495334596094,NA,3,1.86698708099999,9.50453877449036e-05,-21.5957874793559,-21.0176153684966,"EN","ANURA","MANTELLIDAE","Mantella","highlow"
"1139",1139,"Mantella crocea",21.504638496968,NA,3,0.933315285000049,153.420490240319,-18.1568916488459,-18.5748283629119,"EN","ANURA","MANTELLIDAE","Mantella","low"
"1140",1140,"Mantella expectata",25.2412940860633,NA,3,1.18199753599998,111.323871569685,-22.779517487867,-24.4387025253661,"EN","ANURA","MANTELLIDAE","Mantella","highlow"
"1141",1141,"Mantella haraldmeieri",24.2434690155881,NA,3,1.04896958999996,111.323871569726,-24.9100167557757,-25.0120578086749,"EN","ANURA","MANTELLIDAE","Mantella","highlow"
"1142",1142,"Mantella laevigata",25.4993223166978,NA,3,4.06845926399996,457.966901488228,-15.3977060238512,-18.2343057754263,"LC","ANURA","MANTELLIDAE","Mantella",NA
"1143",1143,"Mantella madagascariensis",24.7595988533041,NA,1,2.30373928699998,333.971614709107,-21.009359544944,-22.4474794008024,"VU","ANURA","MANTELLIDAE","Mantella","highlow"
"1144",1144,"Mantella manery",25.9945863936748,NA,1,0.557747369000026,108.016996575145,-15.0417802301588,-14.8539809753001,"VU","ANURA","MANTELLIDAE","Mantella","highlow"
"1145",1145,"Mantella milotympanum",22.5044702308951,NA,3,0.0742113220000533,111.323871569726,-18.706408819966,-18.1361950721405,"CR","ANURA","MANTELLIDAE","Mantella","low"
"1146",1146,"Mantella nigricans",27.4921237782715,NA,3,4.1536097,457.966901488237,-15.6596766046611,-16.9629366656765,"LC","ANURA","MANTELLIDAE","Mantella","highlow"
"1147",1147,"Mantella pulchra",28.006302586305,3,1,2.87228349999998,395.74331179999,-17.7735548111387,-19.8107595611922,"VU","ANURA","MANTELLIDAE","Mantella","low"
