"","species","order","mni_max","spec_max","mni_pred_max","lat_range","gcd","grid_cells","ma_range","asl_pred","svl","mean_lat","min_lat","hab.cat.b","habitat_width","hab_w_boot","family","genus","complete_case","abu_cat"
"190","Lysorophus tricarinatus","Lepospondyli",14,16,14,0.8882580924942,49.1367513867712,1,9,16,55.9235138367371,0.129056789363529,0.1232952638715,"low",1,1,"Lysorophidae","Lysorophus",TRUE,1
"191","Macropelobates osborni","Salientia",NA,NA,NA,0,66.338044121482,2,0,NA,NA,43.3367440095483,43.7301615714407,"low",1,1,"Pelobatidae","Macropelobates",FALSE,NA
"192","Mahavisaurus australis","Temnospondyli",1,1,1,0,106.245634087702,1,0,193,514.879829158573,-34.6897953536598,-33.3212406846931,"low",1,1,"Rhytidosteidae","Mahavisaurus",TRUE,1
"193","Mahavisaurus dentatus","Temnospondyli",NA,NA,NA,0,0,1,0,NA,NA,-33.5538346993127,-34.9189182317206,"low",1,1,"Rhytidosteidae","Mahavisaurus",FALSE,NA
"194","Manubrantlia khaki","Temnospondyli",1,1,1,0,114.313390211782,1,1,111.5,303.564995971303,-47.8826294177727,-49.457853790331,"low",1,1,"Lapillopsidae","Manubrantlia",TRUE,1
"195","Marmorerpeton freemani","Urodela",1,1,1,0.731209284823316,15.1155127987502,1,0,65.8915799443872,185.299275219116,35.4992532848565,36.9408198923057,"low",1,1,NA,"Marmorerpeton",TRUE,1
"196","Marmorerpeton kermacki","Urodela",5,19,5,4.15966049713956,719.274908316574,2,0,65.8915799443872,185.296651992743,37.8050579597161,36.952952887602,"low",1,1,NA,"Marmorerpeton",TRUE,1
"197","Mastodonsaurus durus","Temnospondyli",1,1,1,0,0,1,0,1070,2788.94922488254,12.843198467681,13.7805491063575,"low",1,1,"Metoposauridae","Mastodonsaurus",TRUE,1
"198","Mastodonsaurus giganteus","Temnospondyli",2,21,2,3.38522713007825,187.815898428919,2,0,1250,3255.67484872564,28.3184640923339,28.2811171458873,"low",2,1.23024830699774,NA,"Mastodonsaurus",TRUE,1
"199","Mastodonsaurus lavisi","Temnospondyli",1,2,1,0,59.1875836929417,1,18,900,2348.13942639525,27.3848037512569,27.3373840128024,"low",1,0.571428571428571,"Mastodonsauridae","Mastodonsaurus",TRUE,1
"200","Mastodonsaurus torvus","Temnospondyli",1,1,1,0,192.11414224092,2,0,900,2348.14166789032,42.5693506298771,43.1193916069793,"low",1,1,NA,"Mastodonsaurus",TRUE,1
"201","Matthewichnus caudifer","Temnospondyli",NA,NA,NA,0.0255466769121346,29.6427314824821,1,1,NA,NA,-14.1641224611662,-13.1200061769336,"low",1,1,NA,"Matthewichnus",FALSE,NA
"202","Megamolgophis agostini","Lepospondyli",NA,NA,NA,1.21209930812457,0,1,0,NA,NA,-0.288237451362671,-0.49436380134082,"low",1,1,"Lysorophidae","Megamolgophis",FALSE,NA
"203","Melanerpeton pulcherrimum","Temnospondyli",NA,NA,NA,0,111.684109302214,1,0,34.7,104.414690236818,8.74060178648579,9.95610768075931,"low",1,1,"Branchiosauridae","Melanerpeton",FALSE,NA
"204","Melosaurus uralensis","Temnospondyli",1,1,1,1.25966220243622,0,1,0,196,522.674936496018,29.0820524150901,28.6860021528252,"low",1,1,"Rachitomi","Melosaurus",TRUE,1
"205","Metoposaurus algarvensis","Temnospondyli",8,12,8,0,20.6628207488222,1,0,450,1181.28707675921,19.2569230570896,18.7939023295855,"low",1,1,"Metoposauridae","Metoposaurus",TRUE,1
"206","Metoposaurus diagnosticus","Temnospondyli",1,5,1,1.17426342644178,730.720491865597,2,16,442,1160.54902980636,28.8990023641129,27.7537082671902,"highlow",3,1.92057026476578,"Metoposauridae","Metoposaurus",TRUE,1
"207","Metoposaurus fraasi","Temnospondyli",1,1,1,3.51141922255567,864.676762738023,4,1,NA,NA,9.9555292991543,9.25409818052829,"low",2,0.906040268456376,"Metoposauridae","Metoposaurus",FALSE,NA
"208","Metoposaurus jonesi","Temnospondyli",1,1,1,0,0,1,0,NA,NA,7.31601327758111,7.95150932118125,"low",1,1,"Metoposauridae","Metoposaurus",FALSE,NA
"209","Micraroter erythrogeios","Lepospondyli",1,1,1,0,0,2,0,45,131.1279115535,-0.0609803325551994,0.258255412330901,"low",1,1,"Ostodolepidae","Micraroter",TRUE,1
"210","Microbrachis pelikani","Lepospondyli",7,7,7,0.856326149372795,0,1,0,21,68.9015948048244,-0.711188943671399,-0.863754402460866,"low",1,1,NA,"Microbrachis",TRUE,1
"211","Micropholis stowi","Temnospondyli",5,5,5,0.951236605391876,531.625164895706,4,2,41.4,121.797733211114,-49.9987627147223,-51.386366883534,"low",2,2,"Amphibamidae","Micropholis",TRUE,1
"212","Microposaurus averyi","Temnospondyli",1,1,1,0,0,1,0,400,1051.63940325687,-76.8394612099062,-76.4781536811049,"low",1,1,"Trematosauridae","Microposaurus",TRUE,1
"213","Microposaurus casei","Temnospondyli",1,1,1,0,47.4152300045727,2,0,NA,NA,-50.6182510950486,-50.1497762621596,"low",1,1,"Trematosauridae","Microposaurus",FALSE,NA
"214","Miopelodytes gilmorei","Salientia",NA,NA,NA,0.629727696357258,46.6705010153213,1,0,NA,NA,44.7474950615568,45.270017497546,"low",1,1,"Pelodytidae","Miopelodytes",FALSE,NA
"215","Montsechobatrachus gaudryi","Salientia",1,1,1,0.731283214400152,22.8340849153909,1,0,NA,NA,28.3464876773933,27.7790760446506,"low",1,1,NA,"Montsechobatrachus",FALSE,NA
"216","Nannaroter mckinziei","Lepospondyli",1,1,1,0.574063686098248,34.6725161858555,1,0,18,61.1091604440676,1.45344575880673,0.300631284849904,"low",1,1,"Ostodolepidae","Nannaroter",TRUE,1
"217","Nannospondylus stewarti","Temnospondyli",1,1,1,1.266922164642,0,1,1,NA,NA,8.57788841641207,8.09656228898723,"low",1,1,"Trimerorhachidae","Nannospondylus",FALSE,NA
"218","Nanolania anatopretia","Temnospondyli",1,5,1,0.5049758919395,15.0035540589278,1,0,NA,NA,-68.668142703739,-69.9652905812533,"low",1,1,"Rhytidosteidae","Nanolania",FALSE,NA
"219","Nanopus reidiae","Temnospondyli",NA,NA,NA,1.02865078694445,101.39270013202,1,0,NA,NA,-13.756534248881,-14.4036308520584,"low",1,1,NA,"Nanopus",FALSE,NA
"220","Neoprocoela edentatus","Salientia",1,1,1,0.00247613133793845,41.1849710034365,1,0,23.4664328303878,66.0062420385005,-44.1700716849583,-43.5860841220411,"high",1,1,"Leptodactylidae","Neoprocoela",TRUE,1
"221","Nesovtriton mynbulakensis","Urodela",4,6,4,1.03629658228264,86.3013257393437,1,4,NA,NA,36.5720459968519,35.0580761394193,"high",1,0.468965517241379,NA,"Nesovtriton",FALSE,NA
"222","Neusibatrachus wilferti","Salientia",NA,NA,NA,0.166473303826255,0,1,0,NA,NA,28.1971761007146,28.017868933762,"low",1,1,NA,"Neusibatrachus",FALSE,NA
"223","Nigerpeton ricqlesi","Temnospondyli",1,2,1,0.00718848165439542,4.28233295460714,1,0,560,1466.52384612656,-3.59147565028697,-3.58734338580328,"low",1,1,"Cochleosauridae","Nigerpeton",TRUE,1
"224","Noterpeton bolivianum","Urodela",1,38,1,0.944822883008726,126.593432977129,1,0,NA,NA,-19.4503745809255,-17.9565520794189,"low",1,1,"Sirenidae","Noterpeton",FALSE,NA
"225","Notobatrachus degiustoi","Salientia",NA,NA,NA,0.150817559035356,0,1,0,NA,NA,-49.5656401316561,-49.9712444564253,"low",1,1,NA,"Notobatrachus",FALSE,NA
"226","Notobatrachus reigi","Salientia",NA,NA,NA,0,0,1,0,NA,NA,-47.9487974311575,-49.6303468442872,"low",1,1,NA,"Notobatrachus",FALSE,NA
"227","Oligosemia spinosa","Urodela",3,3,3,0.0649262056794389,107.359848116156,2,0,NA,NA,39.0041610784577,39.0011198743926,"low",1,1,"Salamandridae","Oligosemia",FALSE,NA
"228","Onchiodon labyrinthicus","Temnospondyli",NA,NA,NA,0,0,1,1,280,740.478914666766,7.29081273765996,7.1442713186866,"low",1,1,"Eryopidae","Onchiodon",FALSE,NA
"229","Ophiderpeton kirktonense","Lepospondyli",1,4,1,0.289119316193142,0,1,0,20,66.3067525016668,-27.3322583436335,-27.7628795815932,"low",1,1,"Ophiderpetontidae","Ophiderpeton",TRUE,1
"230","Ophiderpeton swisshelmense","Lepospondyli",1,15,1,0.654947963332103,85.3984883049012,1,0,NA,NA,-9.7829930358941,-8.89051570002011,"low",1,1,"Ophiderpetontidae","Ophiderpeton",FALSE,NA
"231","Opisthotriton gidleyi","Urodela",1,1,1,0.710054605957899,0,1,1,32,97.4206296166996,55.9362375692004,57.2991599517414,"low",1,1,"Batrachosauroididae","Opisthotriton",TRUE,1
"232","Opisthotriton kayi","Urodela",107,334,107,8.48178401566011,1566.89906917544,9,22,32,97.424188200355,57.8477487697683,45.634831938543,"highlow",3,2.862,"Batrachosauroididae","Opisthotriton",TRUE,3
"233","Osteophorus typus","Temnospondyli",NA,NA,NA,0.33978149024847,0,1,0,NA,NA,-32.6496366100309,-33.0049708397982,"low",1,1,"Actinodontidae","Osteophorus",FALSE,NA
"234","Ostodolepis brevispinatus","Lepospondyli",1,1,1,0,0,1,0,NA,NA,0.25293291811484,-0.0798904468805804,"low",1,1,"Ostodolepidae","Ostodolepis",FALSE,NA
"235","Oumtkoutia anae","Salientia",22,34,22,0,0,1,1,NA,NA,26.2675696506312,26.0190892370565,"low",1,1,"Pipidae","Oumtkoutia",FALSE,NA
"236","Pachycentrata taqueti","Salientia",4,21,4,0,104.704839461573,1,0,24.8886408807143,70.0050202996843,5.46501649176919,4.89640156604567,"low",1,1,NA,"Pachycentrata",TRUE,1
"237","Pachygonia incurvata","Temnospondyli",1,2,1,1.16895309547787,0,1,29,NA,NA,-42.9950986530085,-49.1179170562128,"low",1,1,"Stereospondylomorpha","Pachygonia",FALSE,NA
"238","Palaeobatrachus occidentalis","Salientia",1,1,1,0.426521966048602,473.797948100945,2,6,17.5,61.0040595908416,54.5544784979672,54.5260204039358,"highlow",3,1.37606837606838,"Palaeobatrachidae","Palaeobatrachus",TRUE,1
"239","Palaeobatrachus robustus","Salientia",7,71,7,0,48.0170836990168,1,0,17.5,61.0028810749203,41.2869190313237,41.1187993544469,"low",1,1,"Palaeobatrachidae","Palaeobatrachus",TRUE,1
"240","Palaeoproteus gallicus","Urodela",7,26,7,0,0,1,0,13.4,49.1806998072135,39.5107849392043,38.2938147266347,"high",1,0.430921052631579,"Batrachosauroididae","Palaeoproteus",TRUE,1
"241","Paleoamphiuma tetradactylum","Urodela",1,1,1,0,0,1,0,20,66.3016425399168,49.5900302404284,48.959260755752,"low",1,1,"Amphiumidae","Paleoamphiuma",TRUE,1
"242","Panchetosaurus panchetensis","Temnospondyli",1,1,1,0.181418167545753,30.1822673452118,1,0,NA,NA,-48.7589237460324,-49.2798163707757,"low",1,1,"Trematosauridae","Panchetosaurus",FALSE,NA
"243","Paracyclotosaurus davidi","Temnospondyli",1,1,1,1.0762318432151,0,1,0,NA,NA,-76.5797455909074,-77.7094737586908,"low",1,1,NA,"Paracyclotosaurus",FALSE,NA
"244","Paracyclotosaurus morganorum","Temnospondyli",1,1,1,0,43.5664244406828,1,0,NA,NA,-51.5638725517185,-50.2971503219434,"low",1,1,NA,"Paracyclotosaurus",FALSE,NA
"245","Paradiscoglossus americanus","Salientia",1,3,1,0,1.40329604759957,1,0,NA,NA,54.1209979516118,54.4484812366235,"low",2,1.10833333333333,NA,"Paradiscoglossus",FALSE,NA
"246","Paralatonia transylvanica","Salientia",1,2,1,0.42768503587426,0,1,0,NA,NA,25.8718821168406,25.9291851128912,"high",1,1,"Discoglossidae","Paralatonia",FALSE,NA
"247","Pariotichus brachyops","Lepospondyli",1,1,1,0,0,2,0,25,79.2667787017675,-0.426711752222599,1.05838979673225,"low",1,1,"Gymnarthridae","Pariotichus",TRUE,1
"248","Parotosuchus orenburgensis","Temnospondyli",1,1,1,1.04517650800052,0,1,0,NA,NA,39.9305369927842,40.2006958275396,"low",1,1,"Mastodonsauridae","Parotosuchus",FALSE,NA
"249","Parotosuchus orientalis","Temnospondyli",1,1,1,0.646163986644623,133.230175361662,1,0,NA,NA,39.5627845695414,38.5273258111392,"highlow",2,1.14529914529915,NA,"Parotosuchus",FALSE,NA
"250","Parotosuchus speleus","Temnospondyli",1,90,11,0,56.314917005643,1,0,651,1702.4799163896,29.4530086250687,29.2292380978996,"low",1,1,NA,"Parotosuchus",TRUE,1
"251","Pasawioops mayi","Temnospondyli",2,2,2,0,61.0167245904529,1,0,28.9,89.3783397792561,0.142362681353651,0.489683741374127,"low",1,1,"Amphibamidae","Pasawioops",TRUE,1
"252","Pelobates fahlbuschi","Salientia",125,1080,125,0,72.1023780003417,1,1,35.5552012581634,100.000899458341,45.3227985409572,46.4720540457889,"low",1,1,"Pelobatidae","Pelobates",TRUE,3
"253","Pelodosotis elongatum","Lepospondyli",1,1,1,0,0,1,0,36,107.796635152076,0.17781834802243,0.770860085586338,"low",1,1,"Ostodolepidae","Pelodosotis",TRUE,1
